FacilityName,lat,long,S,State,City,PrimaryRestriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay
Riverview Correctional ,27.820475,-82.303571,710,New York,Ogdensburg,,,,,,,9999,False,False,False,False,False,False,False
Starc Bridgeview,45.701939,5.005536,711,New York,Ogdensburg,"Must call to verify, 315-394-6367, Mr. Stickles",,,"No Rape, Nothing sexually suggestive",No child violence,"must call to verify, 315-394-6367, mr. stickles",9999,False,False,False,False,True,False,True
Sing Sing Correctional Facility,41.151577,-73.868392,712,New York,Ossining,,,,,,,9999,False,False,False,False,False,False,True
FCI Otisville,24.047019,84.072557,713,New York,Otisville,,NO Composition Books,,,,,9999,False,False,False,False,False,False,False
Otisville Correctional ,41.470351,-74.539518,714,New York,Otisville,,,Magazines must not be more than 3 months old,,,,9999,True,False,False,False,False,False,False
Southport Correctional ,53.657447,-3.004251,715,New York,Pine City,,no News,,,,,9999,False,False,False,False,False,False,False
Creedmore Psychiatric Center,12.529476,78.205064,716,New York,Queens Village,,,,,,,9999,True,False,False,False,False,False,False
Adirondack Correctional ,43.360903,-111.241225,717,New York,Ray Brook,,,,,,,9999,False,False,False,False,False,False,False
Butler Correctional ,40.853708,-79.940229,718,New York,Red Creek,,,,,,,9999,False,False,False,True,False,False,False
Mohawk Correctional,41.011746,-74.66897,719,New York,Rome,,,,,,,9999,True,False,False,False,False,False,False
Oneida Correctional ,43.080492,-75.67231,720,New York,Rome,,,,,,,9999,True,False,False,False,True,False,False
Five Points Correctional ,39.558183,-84.184641,721,New York,Romulus,,,,,,,9999,False,False,False,False,False,False,False
Seaford County Jail,45.145908,-95.013124,722,New York,Seaford,,,,,,,0,False,False,False,False,False,False,False
Groveland Correctional / Livingston Correctional,42.676289,-77.825697,723,New York,Sonyea,,,,,,,9999,False,False,False,True,False,False,False
Camp Pharsalia Correctional ,15.855419,74.501096,724,New York,South Plymouth,,,,,,,9999,False,False,False,True,False,False,False
Arthur Kill Correctional ,29.682232,-93.89954,725,New York,Staten Island,,,,,,,9999,False,False,False,False,False,False,False
Green Haven Correctional ,41.588022,-73.724855,726,New York,Stormville,,,,,,,9999,False,False,False,False,False,False,False
Shawangunk Correctional ,41.63398,-74.25904,727,New York,Wallkill,,,"No how to books (electrical, computers, coding, etc.)",,,,9999,False,False,False,False,True,False,True
Mid-Orange,35.118338,-89.980371,728,New York,Warwick,,,,,,,9999,True,False,False,False,False,False,False
WCF,11.311927,-12.305597,729,New York,Watertown,,,,,,,9999,True,False,False,False,False,False,False
Mt. McGregor Correctional ,33.91667,35.66667,730,New York,Wilton,,,,,,,9999,True,False,False,False,False,False,False
Woodbourne Correctional ,40.20138,-74.887033,731,New York,Woodbourne,,, ,,,,9999,False,False,False,True,False,False,False
"Randolph Correctional, PO Box 4128",35.630594,-79.627104,732,North Carolina,Ashboro,,,,,,,9999,False,False,False,False,False,False,False
Craggy CC,35.610994,-82.438577,733,North Carolina,Asheville,"Send to:2992 Riverside Drive, PO Box closed",,"Letter must indicate ""mailroom has approved books"" or letter is DNS.
",,"DNS May-1, un-DNS 5-25-21 mike","send to:2992 riverside drive, po box closed",9999,False,False,False,False,False,False,False
Buncombe Correctional ,35.622968,-82.500326,734,North Carolina,Asheville,,,,,,,9999,False,False,False,True,False,False,False
Albemarle Correctional ,38.017994,-78.660003,735,North Carolina,Badin,,,,,,,9999,True,False,False,False,False,False,False
Pamlico Correctional ,35.160232,-76.770998,736,North Carolina,Bayboro,,"No Composition Books, no blank paper",,,,,9999,False,False,False,False,False,False,False
Western Correctional Center for Women (formerly Swannanoa CCW),35.61133,-82.37313,737,North Carolina,Black Mountain,Send to: 55 Lake Eden Road,,,,,send to: 55 lake eden road,9999,True,False,False,False,False,False,False
Caswell Corr. Ctr,-33.756211,150.737685,738,North Carolina,Blanch,,,,,,,9999,True,False,False,False,False,False,False
Watauga Co. Detention Ctr.,36.221129,-81.707085,739,North Carolina,Boone,,,,,,,9999,True,False,False,False,False,False,False
Franklin Correctional Center,37.566652,-78.474686,740,North Carolina,Bunn,,,,,,,9999,True,False,False,False,False,False,False
Pender Correctional ,34.542936,-77.896377,741,North Carolina,Burgaw,,,,,,,9999,False,False,False,False,False,False,True
FCI Butner / Low Security (PO Box 999),36.143894,-78.79994,742,North Carolina,Butner,,,,No Sex,No composition notebooks,,9999,True,False,False,False,False,False,False
FCI Butner/ Medium Security (PO Box 1000),36.14006,-78.804224,743,North Carolina,Butner,,,,No Sex,No composition notebooks,,9999,True,False,False,False,False,False,False
"Federal Medical Center,Box 1600",14.612264,121.091722,744,North Carolina,Butner,,,,No Sex,No composition notebooks,,9999,True,False,False,False,False,False,False
Granville Correctional Institution (formerly Polk) ,-33.834113,151.009502,745,North Carolina,Butner,Box 2500,,,No Sex,,box 2500,9999,True,False,False,False,False,False,False
Charlotte Correctional Center ,37.566652,-78.474686,746,North Carolina,Charlotte,,,,,,,9999,False,False,False,True,False,False,False
Mecklenburg County Jail,35.236548,-80.82891,747,North Carolina,Charlotte,,,,,,,0,False,False,False,False,False,False,False
Sampson Correctional ,35.040166,-78.375725,748,North Carolina,Clinton,,,,,,,9999,False,False,False,True,False,False,False
Tyrell Prison Work Farm,35.957312,-76.227886,749,North Carolina,Columbia,,,,,,,9999,True,False,False,False,False,False,False
Gaston Correctional Center,37.566652,-78.474686,750,North Carolina,Dallas,,,,,,,9999,False,False,False,False,False,False,False
Pasquotank Correctional ,36.361511,-76.310839,751,North Carolina,Elizabeth City,,,,,,,9999,False,False,False,True,False,False,False
Cumberland County Detention,39.41297,-75.26037,752,North Carolina,Fayetteville,,,,,,,9999,False,False,False,True,False,False,False
Neuse Correctional ,35.38792,-78.03684,753,North Carolina,Goldsboro,"Write: ""APPROVED MATERIAL"" on package.",,,,,"write: ""approved material"" on package.",9999,True,False,False,False,False,False,False
Orange Correction Center,40.767529,-111.945308,754,North Carolina,Hillborough,,,,,,,9999,True,False,False,False,False,False,False
"Richmond CI (formerly Morrison Correctional, name change 10-4-21)",-37.933892,145.192905,755,North Carolina,Hoffman,,,,No Sex,,,9999,True,False,False,False,False,False,False
Odom Correctional Institution ,43.635417,-88.706387,757,North Carolina,Jackson,,,,,,,9999,False,False,False,False,False,False,False
Duplin Correctional,34.964176,-77.932848,758,North Carolina,Kenansville,,,,No Sex,,,9999,True,False,False,False,False,False,False
Scotland Correctional ,56,-4,759,North Carolina,Laurinburg,,,,,,,9999,False,False,False,False,False,False,False
Caldwell Correctional,43.6591,-116.680967,760,North Carolina,Lenoir,,,,,,,9999,True,False,False,False,False,False,False
North Piedmont (Women),38.309137,-101.328273,761,North Carolina,Lexington,,,,,,,9999,True,False,False,False,False,False,False
Harnett Correctional ,35.38813,-78.80117,762,North Carolina,Lillington,,,,,,,9999,True,False,False,False,False,False,False
Lincon CC,45.118906,2.226161,763,North Carolina,Lincolnton,,,,,,,9999,False,False,False,False,False,False,False
Lumberton Correctional ,39.96595,-74.80516,764,North Carolina,Lumberton,"Do Not Use PO BOX, send to 75 Legend Rd",,,,,"do not use po box, send to 75 legend rd",9999,True,False,False,False,False,False,False
CNYPC,43.167598,-75.302984,765,North Carolina,Marcy,,,,,,,9999,True,False,False,False,False,False,False
Eastern Correctional  P.O. Box 215 ,37.969062,-121.665128,766,North Carolina,Maury,,,,,,,9999,True,False,False,False,False,False,False
Maury Correctional Inst.P.O.B.506,35.625119,-87.082386,767,North Carolina,Maury,,,,,Banned Title-Rogue Lawyer,,9999,True,False,False,False,False,False,False
"Greene CI, P.O. Box 39",40.079147,-75.777676,768,North Carolina,Maury,,,No violence,No Sex,,,9999,True,False,False,False,False,False,False
Foothills Correctional ,35.679301,-81.692315,769,North Carolina,Morganton,,,,,,,9999,False,False,False,False,False,False,False
Western Youth Institute,40.22517,-74.76621,770,North Carolina,Morganton,CLOSED PERMANENTLY 1-1-2014,,,,,closed permanently 1-1-2014,9999,False,False,False,False,False,False,False
Nash Correctional ,35.969654,-77.982357,771,North Carolina,Nashville,,,,,,,0,False,False,False,False,False,False,False
Carteret Correctional Center,37.566652,-78.474686,772,North Carolina,Newport,,,"up to 11""long","up to 2"" thick",,,9999,False,False,False,False,True,False,False
Warren Correctional ,42.514226,-83.027928,773,North Carolina,Norlina,,,Banned Book:No One Is Safe,,Mailing address is in Norlina,,9999,False,False,False,False,True,False,False
Wilkes Correctional Center,37.566652,-78.474686,774,North Carolina,North Wilkesboro,,,,,,,9999,False,False,False,False,True,False,False
Anson Correctional ,34.965145,-80.107228,775,North Carolina,Polkton,,,,,,,9999,False,False,False,False,False,False,False
Brown Creek / Scotland Correctional (PO Box 310),45.102837,-77.956499,776,North Carolina,Polkton,,,,,,,9999,False,False,False,False,False,False,False
Lanesboro Correctional(PO Box250 &280),43.718629,-91.974327,777,North Carolina,Polkton,,,,,,,9999,False,False,False,False,False,False,False
Hoke Correctional ,35.022652,-79.233106,778,North Carolina,Raeford,,,,,,,9999,False,False,False,True,False,False,False
Central Prison,35.776867,-78.654777,780,North Carolina,Raleigh,"Send to:4285 Mail Service Center, Raleigh, NC 27699",,No Composition Books,No Blank Greeting Cards,No larger than 8 1/2 x 11 x 2,"send to:4285 mail service center, raleigh, nc 27699",9999,True,False,False,False,False,False,False
Public Safety Center,38.663596,-77.585994,781,North Carolina,Raleigh,,,,,,,9999,True,False,False,False,False,False,False
North Carolina Correctional Institution for Women,35.765394,-78.621221,782,North Carolina,Raleigh,,,Do not put Prison Book Program in return address. Only use Lucy Parsons Bookstore,,,,9999,True,False,False,False,False,False,False
Sanford C.C.,28.80055,-81.27312,783,North Carolina,Sanford,,,,,,,9999,True,False,False,False,False,False,False
Piedmont Correctional ,37.824085,-122.230094,784,North Carolina,Salisbury,,,,,,,9999,False,False,False,True,False,False,False
Johnston Correctional,35.513217,-78.365643,785,North Carolina,Smithfield,,,,,,,9999,True,False,False,False,False,False,False
Rutherford Correctional,40.82529,-74.109718,786,North Carolina,Spindale,,,,,,,9999,True,False,False,False,False,False,False
Avery / Mitchell Correctional  600 amity park Rd,40.299894,-75.751453,787,North Carolina,Spruce Pine,,,,,,,9999,True,False,False,False,False,False,False
Mountain View Correctional  545 Amity Park Rd,40.299894,-75.751453,788,North Carolina,Spruce Pine,,,,,,,0,False,False,False,False,False,False,False
Hyde Corr. Inst.,51.653471,-0.201903,789,North Carolina,Swan Quarter,,,,,,,9999,True,False,False,False,False,False,False
Tabor Correctional ,46.240183,15.020237,790,North Carolina,Tabor City,,,,,,,9999,True,False,False,False,True,False,False
Alexander Correctional ,35.926303,-81.173647,792,North Carolina,Taylorsville,,,,,,,0,False,False,False,False,False,False,False
Southern Correctional Institution,-15.5,35,794,North Carolina,Troy,,,,,,,9999,False,True,False,False,False,False,True
Craven Correctional,35.228147,-77.144537,795,North Carolina,Vanceboro,,,,,,,9999,True,False,False,False,False,False,False
Columbus CC,39.98072,-82.985586,796,North Carolina,Whiteville,,,,,,,9999,True,False,False,False,False,False,False
Bertie Correctional ,36.070105,-76.930615,797,North Carolina,Windsor,,,,,,,9999,True,False,False,False,False,False,False
"Rivers CI (fed, by GEO)",36.21237,-81.680792,798,North Carolina,Winton,,,,,,,9999,True,False,False,False,False,False,False
Forsyth Correctional,36.128399,-80.299845,799,North Carolina,Winston-Salem,,,,,,,9999,True,False,False,False,False,False,False
Caswell Correctional ,36.393527,-79.333609,800,North Carolina,Yanceyville,,,,,,,9999,True,False,False,False,False,False,False
New Hanover Correctional Center,34.266523,-77.923015,801,North Carolina,Wilmington,,,No gangs,,,,9999,True,False,False,False,False,False,False
Missouri River Correctional ,38.623266,-90.464242,802,North Dakota,Bismarck,,,,,,,9999,False,False,False,False,False,False,False
North Dakota State Prison,47.471495,-100.469096,803,North Dakota,Bismarck,,,,,,,9999,True,False,False,False,False,False,False
James River Correctional Institution,4.8541,8.2951,804,North Dakota,Jamestown,,,,,,,9999,True,False,False,False,False,False,False
Lincoln Medium,40.8,-96.66696,805,Ohio,Amerst,,,,,,,9999,True,False,False,False,False,False,False
NCI,8.452041,-76.778447,806,Ohio,Caldwell,,,,,,,0,False,False,False,False,False,False,False
Ross CI,52.041214,-9.53144,807,Ohio,Chillicothe,,,,,,,9999,True,False,False,False,False,False,False
River City Correctional,5.574595,8.39357,808,Ohio,Cincinatti,,,,,,,9999,True,False,False,False,False,False,False
Cleveland County Jail,35.21954,-97.44206,809,Ohio,Cleveland,,,,,,,0,False,False,False,False,False,False,False
Corrections Medical Center,29.98852,-82.35821,810,Ohio,Columbus,,,,,,,9999,False,True,False,False,False,False,True
Lake Erie Correctional ,42.622801,-79.076532,812,Ohio,Conneaut,,,,,,,9999,True,False,False,False,False,True,False
Grafton Correctional (GCI) ,42.20704,-71.68562,814,Ohio,Grafton,,,,,,,0,False,False,False,False,False,False,False
Camp Reams - Southeastern Correctional ,32.7657,-83.87352,815,Ohio,Lancaster,,,,,,,9999,False,False,False,True,False,False,False
Trumbull Correctional ,41.317136,-80.761166,816,Ohio,Leavittsburg,,,,,,,0,False,False,False,False,False,False,False
Warren Correctional (WCI) ,42.514226,-83.027928,817,Ohio,Lebanon,,,,,,,9999,False,False,False,False,False,False,False
Allen Correctional (ACI),33.103958,-96.67359,818,Ohio,Lima,,,,,,,9999,False,False,False,True,False,False,False
FCI Elkton - Federal ,40.771439,-80.704593,819,Ohio,Lisbon,"Write: ""AUTHORIZED READING MATERIAL"" on package.",No sex,,,,"write: ""authorized reading material"" on package.",9999,True,False,False,False,False,False,False
LCI,43.133196,5.989433,820,Ohio,London,,,,,,,9999,True,False,False,False,False,False,False
Southern Ohio Correctional (SOCF) ,-16.652528,26.491397,821,Ohio,Lucasville,,,,,,,9999,False,False,False,False,False,False,True
Mansfield Correctional ,53.149132,-1.186746,822,Ohio,Mansfield,,,,,,,9999,True,False,False,False,False,False,False
Richland,33.802647,-117.84931,823,Ohio,Manfield,,,,,,,0,False,False,False,False,False,False,False
Marion Correctional (MCI) ,40.600551,-83.131197,824,Ohio,Marion,,,,,,,9999,True,False,True,False,False,False,False
NCCC PO Box 1812,14.623737,120.969967,825,Ohio,Marion,,,,,"DNS confirmed, test pkg returned, no free books allowed",,0,False,False,False,False,False,False,False
Ohio Reformatory for Women (ORW) ,40.224589,-83.393126,826,Ohio,Marysville,,,,,,,0,False,False,False,False,False,False,False
PCI,14.559358,121.010206,827,Ohio,Orient,Must be approved vendor,,,,,must be approved vendor,9999,True,False,False,False,True,False,False
Belmont Correctional,37.511768,-122.298939,828,Ohio,St. Clairsville,,,,,,,0,False,False,False,False,False,False,False
Toledo Correctional ,39.869757,-4.035481,829,Ohio,Toledo,,,,,,,9999,True,False,False,False,False,False,False
Northeast Ohio CC,45.563585,-122.607838,830,Ohio,Youngstown,,,,,,,9999,False,False,False,False,False,False,True
Ohio State Penitentiary (OSP) ,44.932539,-123.003794,831,Ohio,Youngstown,,,,,,,9999,True,False,False,False,False,False,False
HMCC,61.303066,-149.579945,832,Oklahoma,Atoka,,,,,,,9999,True,False,False,False,False,False,False
CCF,52.221663,-3.935688,834,Oklahoma,Cushing,,,,,3/1/2010 0:00,,9999,True,False,False,False,True,False,False
William S. Key Correctional ,53.341878,-6.262647,835,Oklahoma,Fort Supply,"Send: ""c/o Chaplain, Ron Roskang""",,,,,"send: ""c/o chaplain, ron roskang""",9999,True,False,False,False,False,False,False
Tillman County Sheriff's Office,34.37795,-99.01668,836,Oklahoma,Frederick,,,,,,,9999,True,False,False,False,False,False,False
OSP,45.56833,13.86472,837,Oklahoma,Granite,,,,,,,9999,False,False,False,True,False,False,False
James Crabtree Correctional ,18.390938,-77.846498,838,Oklahoma,Helena,,,,,,,9999,False,False,False,True,False,False,False
Great Plains Correctional ,39.416865,-101.292097,839,Oklahoma,Hinton,,,,,,,9999,False,False,False,True,False,False,False
Jim E. Hamilton Correctional ,34.749088,-94.635029,840,Oklahoma,Hodgen,,,Newish,,,,9999,True,False,False,False,False,False,False
DCCC,41.253589,-95.938688,841,Oklahoma,Hominy,,,,,,,0,False,False,False,False,False,False,False
Choctaw County Jail,34.00889,-95.50921,842,Oklahoma,Hugo,,,Newish,,,,9999,True,False,False,False,False,False,False
McCurtain County Jail,33.8972,-94.82891,843,Oklahoma,Idabel,,,,,,,0,False,False,False,False,False,False,False
"Lawton Correction Facility (LCF) 8607 South East Flower Mound Road, Lawton, OK 73501",34.625429,-98.411413,844,Oklahoma,Lawton,Bible & Concordance in hardcover ok,No Tattoo,No Sex,No Violence,,bible & concordance in hardcover ok,9999,False,False,False,False,False,False,False
"Lawton Community Corrections Center (LCCC)605 Southwest Coombs Road
Lawton, OK 73501-8294 ",35.455622,-97.508021,845,Oklahoma,Lawton,,,,,,,9999,False,True,False,False,False,False,False
Joseph Harp Correctional Center/LARC,35.027205,-97.218239,846,Oklahoma,Lexington,,,,,,,9999,False,False,True,False,False,False,False
RTMU/LCC,40.352504,18.169729,847,Oklahoma,Lexington,,,,,,,9999,True,False,False,False,False,False,False
Madill City Jail,12.065991,124.592245,848,Oklahoma,Madill,,,,,,,0,False,False,False,False,False,False,False
Oklahoma State Penitentiary (OSP) ,34.95443,-95.782787,849,Oklahoma,McAlester,,,,,,,9999,False,False,True,False,False,False,False
Mabel Bassett Correctional ,47.369941,-98.435368,850,Oklahoma,McLoud,,,,,,,9999,False,False,True,False,False,False,False
Moore Jail,35.85818,-101.97234,851,Oklahoma,Moore,,,,,,,0,False,False,False,False,False,False,False
Federal Transfer Center,35.391435,-97.616281,852,Oklahoma,Oklahoma City,,,,,,,9999,True,False,False,False,False,False,False
Oklahoma HH,35.551306,-97.407196,853,Oklahoma,Oklahoma City,,,,,,,9999,True,True,False,False,False,False,False
Le Flore County Jail,35.05454,-94.62417,854,Oklahoma,Poteau,,,,,,,0,False,False,False,False,False,False,False
North Fork Correctional ,37.820556,-88.318735,855,Oklahoma,Sayre,,,,,,,9999,False,False,True,False,False,False,False
Mack Alford Correctional ,39.145151,-84.675393,856,Oklahoma,Stringtown,,,,,,,9999,False,False,False,True,False,False,False
Eddie Warrior Correctional Center (EWCC),35.774765,-95.54509,857,Oklahoma,Taft,,,,,,,9999,False,False,False,True,False,False,False
NOCC,22.5654,113.989103,858,Oklahoma,Vinita,,,,,,,9999,False,False,False,True,False,False,False
Diamondback Correctional ,39.342078,-84.267482,859,Oklahoma,Watonga,,,,,,,9999,True,False,False,False,False,False,False
Permanently Closed,34.101997,-118.106469,860,Oregon,Mill Creek CF,,,,,,,0,False,False,False,False,False,False,False
SCI Albion ,61.190644,-149.822295,861,Pennsylvania,Albion,,,No nudity,,,,9999,False,False,False,False,False,False,True
Lehigh County Prison,40.615831,-75.596584,862,Pennsylvania,Allentown,Do No Send,,,,,do no send,9999,False,False,False,False,False,False,False
SCI Benner Township 301 Inst Dr Box A,49.978063,7.519876,863,Pennsylvania,Bellefonte,,,,,,,9999,False,False,False,False,False,False,False
SCI Rockview ,61.190644,-149.822295,864,Pennsylvania,Bellefonte,,,,,,,9999,True,False,False,False,False,False,False
Columbia County Prison,33.531768,-82.264059,865,Pennsylvania,Bloomsburg,,,,,,,0,False,False,False,False,False,False,False
FCI McKean,24.047019,84.072557,866,Pennsylvania,Bradford,,,,,,,9999,False,False,False,False,False,False,False
SCI Cambridge Springs ,41.797737,-80.055291,867,Pennsylvania,Cambridge Springs,,,,,,,9999,False,False,False,False,False,False,False
SCI Camp Hill ,15.855419,74.501096,868,Pennsylvania,Camp Hill,,,,,,,9999,False,False,False,False,False,False,False
SCI Chester ,61.190644,-149.822295,869,Pennsylvania,Chester,,,,,,,9999,True,False,False,False,False,False,False
SCI Coal Township ,61.190644,-149.822295,870,Pennsylvania,Coal Township,,,,,,,9999,True,False,False,False,False,False,False
SCI Phoenix,61.190644,-149.822295,871,Pennsylvania,Collegeville,,,,,,,9999,True,False,False,False,False,False,False
SCI Loretto,61.190644,-149.822295,872,Pennsylvania,Cresson,"Write: ""BOP APPROVED"" on package.",,No Sex,,,"write: ""bop approved"" on package.",9999,True,False,False,False,False,False,False
